Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Race/Species,Family/Guild/Organisation,Home
Olcinia Fulviana,"Scholar of Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ","Argentcourt, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",50,3165,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Olivia Goldleaf,"Songbird, Head of Duztar’s Step (Duztar%E2%80%99s%20Step%20186ea4cd71c447149950d98abcc3fc92.csv) ","Duztar's Step, Queendom of Nya'Tallin","Milena Goldleaf (Milena%20Goldleaf%20a8fb20aa07314eafb1a906c1cb0a9e8b.csv) Fowlin ‘Kellyn’ Goldleaf (Fowlin%20%E2%80%98Kellyn%E2%80%99%20Goldleaf%206ed7070e547343c083c753a11cf373e3.csv) Duztar’s Step (Duztar%E2%80%99s%20Step%20186ea4cd71c447149950d98abcc3fc92.csv) ",94,3120,3214,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",House Goldleaf,"Duztar’s Step (Duztar%E2%80%99s%20Step%20186ea4cd71c447149950d98abcc3fc92.csv) "
Pedro Barille,Pedro the Baker,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",57,3158,,"Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) ","Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Philip Elluvarden,Elluvarden’s Emporium,"Bellmark's Landing, Elluvarden's Emporium","Elluvarden's Extraordinary Enchanting Emporium (Elluvarden's%20Extraordinary%20Enchanting%20Emporium%205354e636454f47a8b0d1772b3a026801.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",25,3190,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Elluvarden's Extraordinary Enchanting Emporium (Elluvarden's%20Extraordinary%20Enchanting%20Emporium%205354e636454f47a8b0d1772b3a026801.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Prilla,Merchant and Trader,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",17,3198,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Quintus Alberic,The Steel Mage,Bellmark's Landing,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",81,3134,,"Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.csv) Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ",,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Qukkiiri,"Smithy, Also known as Qukki","Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",57,3158,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Radegundh V Duskember,Rade,"Bellmark's Landing, Midnight Note, Quills of Ios, Vakkengard","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ",25,3190,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ","Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) "
Ragda Frey,"Nightingale of the Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) , The Fence","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",57,3158,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Rain Domarien,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",95,2350,2445,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ",,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Rask,,,"Karfixia (Karfixia%201c875a22781a80d0bc68d406cd1738fd.csv) ",33,3182,,"Dragonspawn  (Dragonspawn%2003131ac8612e4024979a7da21831d939.csv) ",,"Cobalt Forest (Cobalt%20Forest%2018675a22781a804ebf16d0524faa6b2f.csv) "
Rektar Grey,Warlord & The Bloodyhanded,"Darkwatch Hold, Deathbringer Clan","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) ",70,3145,,"Jotun (Jotun%20854ab2adba3d4ce09e6d2109bb4651e5.csv) ","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) ","Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) "
Remi,,,"Spin To Win (Spin%20To%20Win%201bc75a22781a80eb9898c1f82e87955c.csv) ",20,3195,,"Fairy (Fairy%20b1efd6fec06c4ea49830b03850611a97.csv) ",,"Pandemonium (Plane of Chaos) (Pandemonium%20(Plane%20of%20Chaos)%20375249c38c0c4dc39d6cd24993a3eb35.csv) "
Renley Flintworth,Butler,Queendom of Nya'Tallin,"House Stonecutter (House%20Stonecutter%20aceb54e4f0f345669cce71f825637f83.csv) ",45,3170,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"House Stonecutter (House%20Stonecutter%20aceb54e4f0f345669cce71f825637f83.csv) "
Reuben Steel,,"Bellmark's Landing, The Hoard, Vakkengard","The Hoard (The%20Hoard%204ce3b4350ee04ffda2b8b8ff05315728.csv) ",45,3170,,"Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.csv) ","The Hoard (The%20Hoard%204ce3b4350ee04ffda2b8b8ff05315728.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Rhodri Malcoris,‘Wingless’,"Darkmoor, Queendom of Nya'Tallin","Malcoris Family (Malcoris%20Family%2041638d15596c4c69914115100a4d2836.csv) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",44,3171,,"Fiend (Fiend%205049cfc5296c4178bea52b4bbcb5a689.csv) Xifajk (Xifajk%2083df4bd3d1e5417bb2117d559546cd1c.csv) ","Malcoris Family (Malcoris%20Family%2041638d15596c4c69914115100a4d2836.csv) ","Darkmoor (Darkmoor%203254469a048741b89b86d393f5ca5688.csv) "
Rikke,"Spirit Guardian (Spirit%20Guardian%2012475a22781a808d9aa0c2bac0158cad.csv) ",Mz'Lupakku,"Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",1,3214,,"Spirit Guardian (Spirit%20Guardian%2012475a22781a808d9aa0c2bac0158cad.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Ritter Stavanger,-,Valkoria,"Valkorian Sunstriker (Valkorian%20Sunstriker%20022238d5c0024e84a1aa88a05af19c06.csv) ",78,2380,2458,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ",,
Roddak Grimmjaw,"Dockmaster at Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",Bellmark's Landing,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",48,3167,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ",,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Rouge Owlfeather,Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Raven,"Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",23,3192,,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Roweena,Warden of the Wolf,Mz'Lupakku,"Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",55,3160,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Saint Solera,Saint Solera the Luminary,Emberdeep,"Lumerium (Plane of Light) (Lumerium%20(Plane%20of%20Light)%207f2da552496c45d5b544d82df911103f.csv) Elysium (Elysium%2018775a22781a8038a554e710a122a3ff.csv) Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ",60,2654,2714,"Celestial (Celestial%20efe1f151703d415396ce9ab2939af69f.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Saint Thaldar Stonewright,Saint,"Cerulia, Emberdeep","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) ",74,2217,2291,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Samwise Smith,Captain,Valkorian City-States,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",51,3164,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Morningtide Sails (Morningtide%20Sails%2064a204496aac40b0b1983f5c2f9ba86e.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Selenna,"Spirit Guardian (Spirit%20Guardian%2012475a22781a808d9aa0c2bac0158cad.csv) ",Mz'Lupakku,"Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",30,3185,,"Spirit Guardian (Spirit%20Guardian%2012475a22781a808d9aa0c2bac0158cad.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Shi-rai Igarashi,"Scholar of the Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Bellmark's Landing, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",48,3167,,"Lightborn (Lightborn%200bc5d6fb80e64990a02dbbe2d5abf9dc.csv) ",Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Igarashi Family,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Yamagato (Yamagato%2046d0fc8d09494cf095ac9d96213767c8.csv) "
Shiva aka ‘Saint Shiva’,Saint,,"Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) Orinda (Goddess of Darkness) (Orinda%20(Goddess%20of%20Darkness)%201ba0ba9957314eefbeaf6ee60c227e13.csv) ",80,2560,2640,"Fiend (Fiend%205049cfc5296c4178bea52b4bbcb5a689.csv) ","Church of the Twelve (Church%20of%20the%20Twelve%20a51ac19679214ca0b7344cddc3961507.csv) ","Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Silas Kirkwood,Bishop of Saint Shiva,"Queendom of Nya'Tallin, Valkoria, Valkorian City-States, Witch's End","House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.csv) Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",42,3173,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Kirkwood (House%20Kirkwood%200d32f8e480364cd3aa3913ef0d395895.csv) ","Witch’s End (Witch%E2%80%99s%20End%2068ed9e9cc8924625ae221afa3ecc3747.csv) "
Spear of Dragons,"Retired Adventurer, Spear","Jade Dragoons, Vakkengard","Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) ",55,3160,,"Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.csv) ",,"Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) "
Stefanos Lightseeker,Astromancer,"Quills of Ios, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",63,3152,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",Lightseeker," Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.csv) "
Taaro,Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv)’s Weapon Master,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",24,3191,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Tatiana Starcaller,Librarian,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",33,3182,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",Starcaller,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Tenerak of the Deathbringers,High-Shaman of the Deathbringers,"Darkwatch Hold, Deathbringer Clan","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) ",91,3124,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) ","Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) "
Ternian Mavis,King Consort,Queendom of Nya'Tallin,"Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",66,3147,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Isyen Lenora (Isyen%20Lenora%2025a3a780df3043f187093c732b6f279d.csv) "
Thordin Blackfist,,,"Blackfist Clan (Blackfist%20Clan%2017875a22781a80ff8157d9b5f94967af.csv) ",65,3150,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Blackfist Clan (Blackfist%20Clan%2017875a22781a80ff8157d9b5f94967af.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Thori Stoneshaper,Mayor of Ordona,Ordona,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",70,3145,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Uka’ati the Great,"Chieftain of the Lawaiʻa Tribe (Lawai%CA%BBa%20Tribe%209519b7967ed94b77a4f3d263050fa959.csv) ",Onakei,"Onakei (Onakei%2075acc5f4bb134fe5b9cc4e4d6c12b99d.csv) ",55,3160,,"Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.csv) Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ",Lawaiʻa Tribe (Lawai%CA%BBa%20Tribe%209519b7967ed94b77a4f3d263050fa959.csv),Lawaiʻa Tribe (Lawai%CA%BBa%20Tribe%209519b7967ed94b77a4f3d263050fa959.csv)
Uleryn of the Deeps,Grand Admiral of the Ark of Leven,"Ark of Leven, Children of Leven","Children of Leven (Children%20of%20Leven%2030e9783ada974b4585cd6c5222c05939.csv) Ark of Leven (Ark%20of%20Leven%20fe59ba89f7544b90ba139ded1b5b992e.csv) ",50,3165,,"Merfolk (Merfolk%206266460bb77246a8adbceb14653ff42c.csv) ","Children of Leven (Children%20of%20Leven%2030e9783ada974b4585cd6c5222c05939.csv) ","Ark of Leven (Ark%20of%20Leven%20fe59ba89f7544b90ba139ded1b5b992e.csv) "
Ulfgar Underhill,Commander of the Silver Guard,Emberdeep,"Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.csv) ",30,3185,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Emberguard (Emberguard%2018275a22781a806cb27adda3a65bbad1.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Uriel,,"Church of the Twelve, Dune's Crossing","Pilgrims of the Everlight (Pilgrims%20of%20the%20Everlight%201d975a22781a80bfa307f1f6b2f2526f.csv) ",65,3150,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","Pilgrims of the Everlight (Pilgrims%20of%20the%20Everlight%201d975a22781a80bfa307f1f6b2f2526f.csv) ","Dune’s Crossing (Dune%E2%80%99s%20Crossing%201bd75a22781a80e699d4efb321641172.csv) "
Valkorian Sunstriker,"Chancellor, The Conqueror",Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ",110,2370,2480,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Vanaara,Beastmaster,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",50,3165,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Varris Blackmantle,"Raven of the Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Arborea, Midnight Note","Arborea (Arborea%20641b19cc638e4cd088281ba148814e86.csv)  Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",33,3182,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Arborea (Arborea%20641b19cc638e4cd088281ba148814e86.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Vasilios Starcaller,Professor,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",43,3172,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",Starcaller,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Viktor Meroni,Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Shadowblade,"Brecca, Ebon Syndicate","Varris Blackmantle (Varris%20Blackmantle%205225eea635564ec3816e33dd88758d06.csv) ",45,3170,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Brecca (Brecca%204a1aaaf17d6f4a94a65b447a3df77421.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv) "
Violet Whisper,Whisper,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",31,3182,3213,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ","Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Vogan of the Deathbringers,"Chieftain of the Deathbringers ","Darkwatch Hold, Deathbringer Clan","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) ",71,3144,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) ","Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) "
Voror the 18th,-,"Bone Collectors, Falls of Gohondar","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) ",31,3182,3213,"Titanborn (Titanborn%20cfc56316494e4efeb581fb61e10eabab.csv) ",Voror Family,"Falls of Gohondar (Falls%20of%20Gohondar%20d07eb0543c1448ef9bb03ec5f4d22f3c.csv) "
William Collins,"Mayor of Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) ",Caershire,"Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) ",43,3172,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) "
Xerxes The Black,Pentalord of the West,"Lord of Darkness, Pentalord","Darkmoor (Darkmoor%203254469a048741b89b86d393f5ca5688.csv) Tenebrium (Plane of Darkness) (Tenebrium%20(Plane%20of%20Darkness)%207718024e47414800b2c2b6077c344e7d.csv) ",3215,,,"Fiend (Fiend%205049cfc5296c4178bea52b4bbcb5a689.csv) ",,Tenebrium (Plane of Darkness) (Tenebrium%20(Plane%20of%20Darkness)%207718024e47414800b2c2b6077c344e7d.csv) Eastern Realm
Xugor Blackblade,-,Ordona,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) ",28,3187,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Yefan Pelkin,Steward of the Quills,Quills of Ios,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ",95,3119,3214,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Dimension Library of the @Quills of Ios  (Dimension%20Library%20of%20the%20@Quills%20of%20Ios%20964b9ec9301c4bab9e070303bf86200a.csv) "
Yngrid Runespine,"Knight Chronicler, Sister Yngrid",Emberdeep,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ",3215,,,,,
Yorgos Darktwilight,"Engineer of Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",48,3167,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Zan Glittercase,Master Zan,Cerulia,"Cerulia (Cerulia%208fad80600fff487ab3fd9d21ef4f94c7.csv) ",85,3130,,"Gnome (Gnome%20ba19298cf2754c99a3cc46dc98eb5762.csv) ",,"Cerulia (Cerulia%208fad80600fff487ab3fd9d21ef4f94c7.csv) "
